level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
4	1	10	1	10	0	975	223	51	15	-1	
5	1	10	1	10	1	975	223	51	15	96.688210	58,670
4	1	10	1	11	0	975	248	51	15	-1	
5	1	10	1	11	1	975	248	51	15	96.638802	54,180
4	1	10	1	12	0	974	272	52	15	-1	
5	1	10	1	12	1	974	272	52	15	92.911804	60,288
4	1	10	1	13	0	975	296	48	15	-1	
5	1	10	1	13	1	975	296	48	15	96.347786	59,051
4	1	10	1	14	0	975	320	51	15	-1	
5	1	10	1	14	1	975	320	51	15	96.789551	59,650
4	1	10	1	15	0	974	345	52	15	-1	
5	1	10	1	15	1	974	345	52	15	92.144913	60,347
4	1	10	1	16	0	974	369	52	15	-1	
5	1	10	1	16	1	974	369	52	15	92.187408	61,586
4	1	10	1	17	0	974	394	52	15	-1	
5	1	10	1	17	1	974	394	52	15	93.663177	61,709
4	1	10	1	18	0	975	417	50	15	-1	
5	1	10	1	18	1	975	417	50	15	95.603096	54,313
4	1	10	1	19	0	975	442	48	15	-1	
5	1	10	1	19	1	975	442	48	15	96.395454	52,071
4	1	10	1	20	0	975	466	51	15	-1	
5	1	10	1	20	1	975	466	51	15	95.173843	53,266
4	1	10	1	21	0	975	491	50	15	-1	
5	1	10	1	21	1	975	491	50	15	96.408188	55,575
4	1	10	1	22	0	944	515	82	15	-1	
5	1	10	1	22	1	944	515	82	15	87.901001	2,683,112
2	1	11	0	0	0	1071	5	56	525	-1	
3	1	11	1	0	0	1071	5	56	525	-1	
4	1	11	1	1	0	1098	5	29	13	-1	
5	1	11	1	1	1	1098	5	29	13	95.492523	426
4	1	11	1	2	0	1099	29	25	13	-1	
5	1	11	1	2	1	1099	29	25	13	96.677498	501
4	1	11	1	3	0	1099	53	28	13	-1	
5	1	11	1	3	1	1099	53	28	13	95.786079	526
4	1	11	1	4	0	1098	77	29	13	-1	
5	1	11	1	4	1	1098	77	29	13	96.160637	878
4	1	11	1	5	0	1099	102	28	13	-1	
5	1	11	1	5	1	1099	102	28	13	96.761971	234
4	1	11	1	6	0	1099	126	28	13	-1	
5	1	11	1	6	1	1099	126	28	13	96.573288	256
4	1	11	1	7	0	1099	151	28	13	-1	
5	1	11	1	7	1	1099	151	28	13	96.549919	626
4	1	11	1	8	0	1098	174	28	13	-1	
5	1	11	1	8	1	1098	174	28	13	95.872612	445
4	1	11	1	9	0	1081	199	45	15	-1	
5	1	11	1	9	1	1081	199	45	15	96.094772	9,115
4	1	11	1	10	0	1099	223	28	13	-1	
5	1	11	1	10	1	1099	223	28	13	96.218544	527
4	1	11	1	11	0	1099	248	25	13	-1	
5	1	11	1	11	1	1099	248	25	13	95.820351	641
4	1	11	1	12	0	1098	272	28	13	-1	
5	1	11	1	12	1	1098	272	28	13	95.799057	813
4	1	11	1	13	0	1099	296	28	13	-1	
5	1	11	1	13	1	1099	296	28	13	95.797218	544
4	1	11	1	14	0	1099	320	28	13	-1	
5	1	11	1	14	1	1099	320	28	13	96.167717	608
4	1	11	1	15	0	1099	345	28	13	-1	
5	1	11	1	15	1	1099	345	28	13	95.853127	539
4	1	11	1	16	0	1099	369	25	13	-1	
5	1	11	1	16	1	1099	369	25	13	96.773148	681
4	1	11	1	17	0	1099	394	28	13	-1	
5	1	11	1	17	1	1099	394	28	13	95.712135	508
4	1	11	1	18	0	1098	417	29	13	-1	
5	1	11	1	18	1	1098	417	29	13	94.897751	487
